Cust_ID,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19
768805383,1,,,,,,,,,,,,,,,,,,
818770008,1,,,,,,,,,,,,,,,,,,
713982108,1,,,,,,,,,,,,,,,,,,
769911858,1,,,,,,,,,,,,,,,,,,
709106358,1,,,,,,,,,,,,,,,,,,
713061558,1,,,,,,,,,,,,,,,,,,
810347208,1,,,,,,,,,,,,,,,,,,
818906208,1,,,,,,,,,,,,,,,,,,
710930508,1,,,,,,,,,,,,,,,,,,
719661558,1,,,,,,,,,,,,,,,,,,
708790833,1,,,,,,,,,,,,,,,,,,
710821833,1,,,,,,,,,,,,,,,,,,
710599683,1,,,,,,,,,,,,,,,,,,
816082233,1,,,,,,,,,,,,,,,,,,
712396908,1,,,,,,,,,,,,,,,,,,
714885258,1,,,,,,,,,,,,,,,,,,
709967358,1,,,,,,,,,,,,,,,,,,
753327333,1,,,,,,,,,,,,,,,,,,
806160108,1,,,,,,,,,,,,,,,,,,
709327383,1,,,,,,,,,,,,,,,,,,
806165208,1,,,,,,,,,,,,,,,,,,
708508758,2,,,,,,,,,,,,,,,,,,
784725333,1,,,,,,,,,,,,,,,,,,
811604133,1,,,,,,,,,,,,,,,,,,
789124683,1,,,,,,,,,,,,,,,,,,
771071958,1,,,,,,,,,,,,,,,,,,
720466383,1,,,,,,,,,,,,,,,,,,
804424383,1,,,,,,,,,,,,,,,,,,
718813833,1,,,,,,,,,,,,,,,,,,
806624208,1,,,,,,,,,,,,,,,,,,
778348233,1,,,,,,,,,,,,,,,,,,
712991808,1,,,,,,,,,,,,,,,,,,
709029408,1,,,,,,,,,,,,,,,,,,
788658483,1,,,,,,,,,,,,,,,,,,
787937058,1,,,,,,,,,,,,,,,,,,
715318008,1,,,,,,,,,,,,,,,,,,
713962233,1,,,,,,,,,,,,,,,,,,
785432733,1,,,,,,,,,,,,,,,,,,
715190283,1,,,,,,,,,,,,,,,,,,
708300483,2,,,,,,,,,,,,,,,,,,
827111283,1,,,,,,,,,,,,,,,,,,
758551608,1,,,,,,,,,,,,,,,,,,
773146383,1,,,,,,,,,,,,,,,,,,
778493808,1,,,,,,,,,,,,,,,,,,
720572508,1,,,,,,,,,,,,,,,,,,
712661433,1,,,,,,,,,,,,,,,,,,
789172683,1,,,,,,,,,,,,,,,,,,
738406533,1,,,,,,,,,,,,,,,,,,
799723908,1,,,,,,,,,,,,,,,,,,
771490833,1,,,,,,,,,,,,,,,,,,
720756708,1,,,,,,,,,,,,,,,,,,
779471883,2,,,,,,,,,,,,,,,,,,
711525033,1,,,,,,,,,,,,,,,,,,
712813458,1,,,,,,,,,,,,,,,,,,
714374133,2,,,,,,,,,,,,,,,,,,
717891558,1,,,,,,,,,,,,,,,,,,
716632758,1,,,,,,,,,,,,,,,,,,
768563658,1,,,,,,,,,,,,,,,,,,
711427458,1,,,,,,,,,,,,,,,,,,
714091983,1,,,,,,,,,,,,,,,,,,
787584108,1,,,,,,,,,,,,,,,,,,
712030833,2,,,,,,,,,,,,,,,,,,
711481533,1,,,,,,,,,,,,,,,,,,
710082708,1,,,,,,,,,,,,,,,,,,
708155733,1,,,,,,,,,,,,,,,,,,
788979258,1,,,,,,,,,,,,,,,,,,
807986133,1,,,,,,,,,,,,,,,,,,
788730933,1,,,,,,,,,,,,,,,,,,
711314058,1,,,,,,,,,,,,,,,,,,
717975333,1,,,,,,,,,,,,,,,,,,
715971108,1,,,,,,,,,,,,,,,,,,
720096558,1,,,,,,,,,,,,,,,,,,
719580033,1,,,,,,,,,,,,,,,,,,
820582308,1,,,,,,,,,,,,,,,,,,
789973308,1,,,,,,,,,,,,,,,,,,
712876233,1,,,,,,,,,,,,,,,,,,
804595158,1,,,,,,,,,,,,,,,,,,
714826758,1,,,,,,,,,,,,,,,,,,
779058108,1,,,,,,,,,,,,,,,,,,
710790258,1,,,,,,,,,,,,,,,,,,
715623483,1,,,,,,,,,,,,,,,,,,
715156383,1,,,,,,,,,,,,,,,,,,
